"","strain","treatment","background","knockout","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","star"
"1","8st-910evo","8st-910evo","8st","phi910",17247.7296058214,-0.0730301134379699,0.252928272721511,-0.288738434229456,0.772781548495072,0.79942918809835,"0.3",""
"2","8st-910evo","8st-910evo","8st","phi910",2.59239367317333,-2.66129455295632,1.72299443204775,-1.54457524844895,0.122449036983234,0.159716135195523,"0.4",""
"3","8st-910evo","8st-910evo","8st","phi910",1.87569390365942,-2.12989732769915,1.58943915979565,-1.34003073635923,0.180235352433544,0.220696349918625,"0.5",""
"4","8st-910evo","8st-910evo","8st","phi910",1.08614090297575,-1.4273602989629,2.17642365181795,-0.655828334603254,0.511934583192286,0.558474090755221,"0.6A",""
"5","8st-910evo","8st-910evo","8st","phi910",2.54360964947843,-1.37092755328135,1.53194684133398,-0.89489237895982,0.370844621079159,0.419824099334897,"0.6B",""
"6","8st-910evo","8st-910evo","8st","phi910",24140.8640852729,-0.0863228107147176,0.235766079565608,-0.366137532904499,0.714262451895332,0.751855212521402,"0.7",""
"7","8st-910evo","8st-910evo","8st","phi910",86903.8775871019,0.540705197735465,0.221658813915096,2.43935798529797,0.0147133845708459,0.0252229449785929,"1","*"
"8","8st-910evo","8st-910evo","8st","phi910",25469.2337776037,0.424296328732599,0.237414154830344,1.78715683163795,0.0739121441933691,0.103133224455864,"1.1",""
"9","8st-910evo","8st-910evo","8st","phi910",107396.648704931,0.189718003676174,0.176029179167944,1.07776451934239,0.281138857191579,0.330751596695975,"1.2",""
"10","8st-910evo","8st-910evo","8st","phi910",215224.619479708,0.0932094988108106,0.114030990885262,0.817404971115244,0.41369703577005,0.459663373077834,"1.3",""
"11","8st-910evo","8st-910evo","8st","phi910",14213.0008809143,-0.148098134815885,0.25458033204638,-0.581734392540994,0.560745601707377,0.60079885897219,"1.4",""
"12","8st-910evo","8st-910evo","8st","phi910",27199.5809362209,0.00203582259482075,0.19367346679433,0.010511623654585,0.991613092228143,0.991613092228143,"1.5",""
"13","8st-910evo","8st-910evo","8st","phi910",63405.897765249,-0.40929944427189,0.17249697294062,-2.37279203973502,0.0176542006515362,0.0294236677525603,"1.6","*"
"14","8st-910evo","8st-910evo","8st","phi910",157579.443190888,-0.720819415862225,0.228058975441062,-3.16067111354934,0.00157406119236736,0.0046827653956752,"1.7","**"
"15","8st-910evo","8st-910evo","8st","phi910",59353.6975254255,-0.882878859470188,0.257894612902413,-3.42340946766603,0.000618408471363545,0.00247363388545418,"1.8","**"
"16","8st-910evo","8st-910evo","8st","phi910",1609643.40894442,1.15066866946063,0.247564791772769,4.64794957805144,3.35250832546342e-06,6.70501665092683e-05,"10A","***"
"17","8st-910evo","8st-910evo","8st","phi910",1725047.09368548,1.16453998124006,0.240303897370485,4.84611358360388,1.25903452592282e-06,3.77710357776845e-05,"10B","***"
"18","8st-910evo","8st-910evo","8st","phi910",98063.9662499032,0.876393338205367,0.299822779220111,2.92303787085495,0.00346634353497433,0.00831922448393839,"11","**"
"19","8st-910evo","8st-910evo","8st","phi910",335766.663621758,0.785774759406469,0.250432939973809,3.13766535460011,0.0017029918669107,0.0046827653956752,"12","**"
"20","8st-910evo","8st-910evo","8st","phi910",94317.9443862123,0.812281403655802,0.244568764234931,3.3212802386961,0.000896055170861971,0.00316254766186578,"13","**"
"21","8st-910evo","8st-910evo","8st","phi910",247903.83635098,0.757536662790783,0.253892992706752,2.98368479852354,0.00284799994693134,0.00711999986732834,"14","**"
"22","8st-910evo","8st-910evo","8st","phi910",717302.058468265,0.942015074331525,0.253434107366042,3.71700196205614,0.000201600878341288,0.00100800439170644,"15","**"
"23","8st-910evo","8st-910evo","8st","phi910",951222.836589648,1.10781432277921,0.276242722715228,4.01029323737599,6.06433854540075e-05,0.000363860312724045,"16","***"
"24","8st-910evo","8st-910evo","8st","phi910",1068222.50539505,0.490165176308092,0.210839624688195,2.32482474313348,0.0200813333821602,0.0308943590494773,"17","*"
"25","8st-910evo","8st-910evo","8st","phi910",114150.183074846,0.284544043903617,0.206102329843919,1.38059595987635,0.167403226271311,0.209670895906872,"17.5",""
"26","8st-910evo","8st-910evo","8st","phi910",139774.141103449,0.277416170325408,0.211696852902332,1.31044069159307,0.190046795509261,0.228056154611113,"18",""
"27","8st-910evo","8st-910evo","8st","phi910",174567.909392305,0.821985557212524,0.219130730245974,3.75111950884226,0.000176046757436819,0.00096025504056447,"18.5","***"
"28","8st-910evo","8st-910evo","8st","phi910",102127.604035164,0.626975571337071,0.218368557999092,2.87118061813495,0.00408941790876356,0.00943711825099284,"18.7","**"
"29","8st-910evo","8st-910evo","8st","phi910",639031.104086722,0.630160949339851,0.269935024962826,2.33449123331303,0.0195700145792227,0.0308943590494773,"19","*"
"30","8st-910evo","8st-910evo","8st","phi910",142695.646086136,0.491154278316552,0.277201586806572,1.77183068818172,0.0764226667559508,0.104212727394478,"19.2",""
"31","8st-910evo","8st-910evo","8st","phi910",91564.2257269119,0.602408650500622,0.267717270909363,2.25016730692945,0.0244383267815062,0.0349118954021518,"19.3","*"
"32","8st-910evo","8st-910evo","8st","phi910",184171.996099298,0.909487079706025,0.576932151653884,1.57641947514766,0.114929163054136,0.153238884072182,"19.5",""
"33","8st-910evo","8st-910evo","8st","phi910",55248.6002332612,-1.36482283892865,0.247849785572211,-5.50665329718838,3.65719506040116e-08,2.1943170362407e-06,"2","***"
"34","8st-910evo","8st-910evo","8st","phi910",202006.135318987,-0.819120398642471,0.228204792850129,-3.58940926880716,0.00033142815818426,0.00152966842238889,"2.5","**"
"35","8st-910evo","8st-910evo","8st","phi910",139328.063140746,-0.451121437106441,0.16836438255224,-2.67943510538203,0.00737464964769142,0.0147492992953828,"2.8","*"
"36","8st-910evo","8st-910evo","8st","phi910",225926.279338926,-0.303403968314876,0.333202344211606,-0.910569729131902,0.362522126155396,0.418294760948534,"3",""
"37","8st-910evo","8st-910evo","8st","phi910",278811.985236538,0.034452353358103,0.165200250693562,0.208549037991536,0.834800297462373,0.848949455046481,"3.5",""
"38","8st-910evo","8st-910evo","8st","phi910",11414.6486871162,-1.28298919694529,0.313683280013926,-4.09007836467514,4.31227465313519e-05,0.000288237526444431,"3.8","***"
"39","8st-910evo","8st-910evo","8st","phi910",9121.84523101783,-1.38814577388008,0.336302923503333,-4.12766490228361,3.66465621186446e-05,0.000288237526444431,"4.1","***"
"40","8st-910evo","8st-910evo","8st","phi910",39301.6203757782,-1.44691917515879,0.351402639072273,-4.11755352486467,3.82915614382903e-05,0.000288237526444431,"4.2","***"
"41","8st-910evo","8st-910evo","8st","phi910",55908.6250428167,-1.4142557162254,0.396973031144148,-3.5625989809667,0.000367201388841577,0.00157372023789247,"4.3","**"
"42","8st-910evo","8st-910evo","8st","phi910",45644.9484043183,-1.59853998490943,0.606944940000421,-2.63374793915956,0.00844481538842624,0.01601412505444,"4.5","*"
"43","8st-910evo","8st-910evo","8st","phi910",21620.9663400244,-0.761209567033466,0.26817533744355,-2.83847714815945,0.00453293650370087,0.0100731922304464,"4.7","*"
"44","8st-910evo","8st-910evo","8st","phi910",92826.0482384306,-1.46918494029152,0.352776353399462,-4.16463554355047,3.11850317055486e-05,0.000288237526444431,"4A","***"
"45","8st-910evo","8st-910evo","8st","phi910",85843.7213784874,-1.4656557128637,0.3537905668899,-4.14272128776065,3.43208943468289e-05,0.000288237526444431,"4B","***"
"46","8st-910evo","8st-910evo","8st","phi910",136123.296396053,-0.791059048816693,0.252200588251891,-3.13662650154728,0.00170903691420461,0.0046827653956752,"5","**"
"47","8st-910evo","8st-910evo","8st","phi910",49464.8299978072,-0.667365820431939,0.222231158838422,-3.00302542595821,0.00267310097489889,0.00697330689104058,"5.3","**"
"48","8st-910evo","8st-910evo","8st","phi910",51522.7564564856,-0.513928371623609,0.195417066913519,-2.62990525720583,0.00854086669570134,0.01601412505444,"5.5","*"
"49","8st-910evo","8st-910evo","8st","phi910",76605.5291063907,-0.497043025059105,0.190271775084146,-2.61227932960258,0.00899407347285689,0.0163528608597398,"5.5-5.7","*"
"50","8st-910evo","8st-910evo","8st","phi910",43772.9157625818,-0.512372575478688,0.19083343366921,-2.68492038123064,0.00725470860006895,0.0147492992953828,"5.7","*"
"51","8st-910evo","8st-910evo","8st","phi910",33448.6057453361,-0.538483815929305,0.218516572638934,-2.46426991521173,0.0137292678742876,0.0242281197781547,"5.9","*"
"52","8st-910evo","8st-910evo","8st","phi910",168458.726048488,-0.48179156682096,0.204507871274116,-2.35585830422723,0.0184799653160459,0.0299675113233177,"6","*"
"53","8st-910evo","8st-910evo","8st","phi910",34654.9656599028,-0.381641862134551,0.276649752674608,-1.3795127537433,0.167736716725498,0.209670895906872,"6.3",""
"54","8st-910evo","8st-910evo","8st","phi910",209486.850134131,0.648940621899888,0.285523593791943,2.27280909882621,0.023037686495945,0.0337136875550414,"6.5","*"
"55","8st-910evo","8st-910evo","8st","phi910",230423.347312346,0.580569938607852,0.25526932169653,2.27434277941964,0.022945384937805,0.0337136875550414,"6.7","*"
"56","8st-910evo","8st-910evo","8st","phi910",359716.021651466,0.716704767223062,0.264289181856292,2.71182029543976,0.0066914858786944,0.014338898311488,"7","*"
"57","8st-910evo","8st-910evo","8st","phi910",309238.719677515,0.768330628927992,0.240353565461779,3.19666832256821,0.00139024685705093,0.00463415619016976,"7.3","**"
"58","8st-910evo","8st-910evo","8st","phi910",295851.782609228,0.880183957358981,0.260951107038014,3.37298418600216,0.000743582231597782,0.00278843336849168,"7.7","**"
"59","8st-910evo","8st-910evo","8st","phi910",846424.513454117,0.730356947566358,0.232949345197852,3.13526078790237,0.00171701397841424,0.0046827653956752,"8","**"
"60","8st-910evo","8st-910evo","8st","phi910",571600.056232606,0.912879020722329,0.223226623144007,4.08947198082828,4.32356289666647e-05,0.000288237526444431,"9","***"
"61","910L2evo","910L2evo","wt","phi910",17247.7296058214,-1.03042430614593,0.261167090653433,-3.94545998719762,7.96469319465682e-05,0.000434437810617645,"0.3","***"
"62","910L2evo","910L2evo","wt","phi910",2.59239367317333,-0.092870509402355,1.54836313213864,-0.059979798972661,0.952171723802899,0.952171723802899,"0.4",""
"63","910L2evo","910L2evo","wt","phi910",1.87569390365942,0.758077431449814,1.46236378421341,0.518391825367567,0.604184917044125,0.697136442743222,"0.5",""
"64","910L2evo","910L2evo","wt","phi910",1.08614090297575,-0.553292454633527,2.47368691974927,-0.223671172861928,0.823013178390193,0.881799833989492,"0.6A",""
"65","910L2evo","910L2evo","wt","phi910",2.54360964947843,-1.22094535262322,1.74182309033596,-0.700958300184046,0.483329039217723,0.617015794746029,"0.6B",""
"66","910L2evo","910L2evo","wt","phi910",24140.8640852729,-1.11200299598313,0.24345554598477,-4.56758128669903,4.93384366435025e-06,5.9206123972203e-05,"0.7","***"
"67","910L2evo","910L2evo","wt","phi910",86903.8775871019,0.144218370237502,0.228917804316849,0.630000670624495,0.528694145464673,0.647380586283273,"1",""
"68","910L2evo","910L2evo","wt","phi910",25469.2337776037,-0.0265178025963934,0.245196848024378,-0.108149035397702,0.913877471602139,0.929366920273362,"1.1",""
"69","910L2evo","910L2evo","wt","phi910",107396.648704931,-0.304942494103887,0.181800525412927,-1.67734660508415,0.0934747240483152,0.151580633591863,"1.2",""
"70","910L2evo","910L2evo","wt","phi910",215224.619479708,0.0474795266681696,0.117770239840659,0.403153859008935,0.686835041058991,0.77754910308565,"1.3",""
"71","910L2evo","910L2evo","wt","phi910",14213.0008809143,0.0606692397914654,0.262906387391259,0.230763658477331,0.817498415588254,0.881799833989492,"1.4",""
"72","910L2evo","910L2evo","wt","phi910",27199.5809362209,-0.129349539483408,0.200008946803786,-0.646718767087472,0.517813974713905,0.647267468392382,"1.5",""
"73","910L2evo","910L2evo","wt","phi910",63405.897765249,-0.245236578690756,0.178140139460316,-1.37664975133461,0.168620561216092,0.259416248024756,"1.6",""
"74","910L2evo","910L2evo","wt","phi910",157579.443190888,-0.513892837918991,0.235533316353408,-2.18182652830276,0.029122337916406,0.0563658153220762,"1.7",""
"75","910L2evo","910L2evo","wt","phi910",59353.6975254255,-0.506815704068307,0.266338481231749,-1.90290078145828,0.0570534930015688,0.0978059880026893,"1.8",""
"76","910L2evo","910L2evo","wt","phi910",1609643.40894442,0.728204747071636,0.255683697387768,2.84806874474771,0.00439854221700214,0.0119960242281876,"10A","*"
"77","910L2evo","910L2evo","wt","phi910",1725047.09368548,0.752297760301611,0.248184720719518,3.03120094629761,0.00243583080111227,0.00795547687942098,"10B","**"
"78","910L2evo","910L2evo","wt","phi910",98063.9662499032,0.232775978998644,0.309655468554086,0.751725716602309,0.452216021859077,0.589846985033579,"11",""
"79","910L2evo","910L2evo","wt","phi910",335766.663621758,0.0869230588818284,0.258643248359511,0.33607317969115,0.736815682846009,0.818684092051122,"12",""
"80","910L2evo","910L2evo","wt","phi910",94317.9443862123,1.10190680027426,0.252586306508243,4.3624961919236,1.28586825023027e-05,0.000105419026856222,"13","***"
"81","910L2evo","910L2evo","wt","phi910",247903.83635098,0.961275468814513,0.262217906894116,3.66594135465614,0.000246430399253253,0.00107399301878401,"14","**"
"82","910L2evo","910L2evo","wt","phi910",717302.058468265,1.13675516584156,0.261745031072526,4.34298661251982,1.40558702474963e-05,0.000105419026856222,"15","***"
