"strain","treatment","background","knockout","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","control","star"
"phi9v2","wt-9","wt","phi9",568115.552042353,-2.04915258411243,0.172824204608609,-11.856861073095,1.98269457206694e-32,1.18961674324016e-30,"9","wt","***"
"phi9v2","wt-9","wt","phi9",840080.564672161,-1.23420750741613,0.184346354207363,-6.69504700932585,2.15602312104326e-11,6.46806936312979e-10,"8","wt","***"
"phi9v2","wt-9","wt","phi9",1692334.13769414,-0.897879416272794,0.187901771607668,-4.77845104168327,1.7665076272522e-06,3.53301525450441e-05,"10B","wt","***"
"phi9v2","wt-9","wt","phi9",1578068.54432222,-0.881925196906592,0.193458579618891,-4.55872879168226,5.1464179094513e-06,7.71962686417695e-05,"10A","wt","***"
"phi910v2","wt-910","wt","phi910",1692334.13769414,-3.22596552528586,0.18790337706459,-17.1682147265345,4.5933160606546e-66,2.75598963639276e-64,"10B","wt","***"
"phi910v2","wt-910","wt","phi910",1578068.54432222,-3.20873672667869,0.193460264982219,-16.5860246649285,8.79527136746664e-62,2.63858141023999e-60,"10A","wt","***"
"phi910v2","wt-910","wt","phi910",568115.552042353,-2.67842194367717,0.172824933521947,-15.4978907793824,3.58468081224769e-54,7.16936162449538e-53,"9","wt","***"
"phi910v2","wt-910","wt","phi910",95744.5727190933,-2.43548783800576,0.232861949989064,-10.4589343090193,1.33346973888875e-25,2.00020460833312e-24,"11","wt","***"
"phi910v2","wt-910","wt","phi910",330420.870820378,-1.97231079888313,0.200218566656004,-9.85078872466288,6.80081652327488e-23,8.16097982792985e-22,"12","wt","***"
"phi910v2","wt-910","wt","phi910",840080.564672161,-1.72379678392358,0.184346523686422,-9.35085050399869,8.69457277138563e-21,8.69457277138563e-20,"8","wt","***"
"phi910v2","wt-910","wt","phi910",23858.130435222,1.49109515831663,0.183820439362118,8.11169401776504,4.99188750401406e-16,4.27876071772634e-15,"0.7","wt","***"
"phi910v2","wt-910","wt","phi910",17260.8062585739,1.44286497456938,0.187652698906537,7.68901797297369,1.48268636139964e-14,1.11201477104973e-13,"0.3","wt","***"
"phi910v2","wt-910","wt","phi910",45135.5724171598,0.862555445726037,0.148268522911893,5.81752234922174,5.97262786368718e-09,3.98175190912479e-08,"5.7","wt","***"
"phi910v2","wt-910","wt","phi910",79381.3851686112,0.859052505319563,0.151476662759757,5.67118716288347,1.41811366152483e-08,8.50868196914901e-08,"5.5-5.7","wt","***"
"phi910v2","wt-910","wt","phi910",53409.9879834773,0.848168961248575,0.155847747169693,5.44229208732196,5.2599335415163e-08,2.86905465900889e-07,"5.5","wt","***"
"phi910v2","wt-910","wt","phi910",172013.305164933,0.82369160284759,0.152544035260987,5.3996972181727,6.675346405153e-08,3.3376732025765e-07,"6","wt","***"
"phi910v2","wt-910","wt","phi910",34549.6001909719,0.89162458555961,0.166023253650251,5.37048013429451,7.85272840529413e-08,3.62433618705883e-07,"5.9","wt","***"
"phi910v2","wt-910","wt","phi910",92878.0209921412,-0.937665482797386,0.190532962085209,-4.92127699341623,8.59813372577143e-07,3.68491445390204e-06,"13","wt","***"
"phi910v2","wt-910","wt","phi910",294086.220185084,-0.937780071597245,0.196219516214648,-4.77923954603675,1.75959450591854e-06,7.03837802367418e-06,"7.7","wt","***"
"phi910v2","wt-910","wt","phi910",65116.7140102183,0.601363667735397,0.133931760714814,4.49007512875085,7.11980568739853e-06,2.51287259555242e-05,"1.6","wt","***"
"phi910v2","wt-910","wt","phi910",703045.042584718,-0.915101045036628,0.203304977962991,-4.50112463652125,6.75948527933191e-06,2.51287259555242e-05,"15","wt","***"
"phi910v2","wt-910","wt","phi910",243168.67470335,-0.852939595668461,0.202125196900627,-4.21985783438865,2.4445642465581e-05,8.14854748852702e-05,"14","wt","***"
"phi910v2","wt-910","wt","phi910",36279.3600344897,0.853900825580542,0.214597845594929,3.97907454855045,6.91840467432274e-05,0.000218475937083876,"6.3","wt","***"
"phi910v2","wt-910","wt","phi910",58969.5351316724,1.10595848026148,0.301264022800779,3.67106058658996,0.000241546068583335,0.000690131624523814,"4.3","wt","***"
