"control","strain","gene","estimate","p.value","padj"
"phi910v2","910L2evo","18.5",-0.016,1.1e-06,6.6e-05
"phi910v2","910L2evo","19.3",-0.015,5.7e-06,0.00017
"phi910v2","910L2evo","5.7",0.011,1.4e-05,0.00028
"phi910v2","910L2evo","0.3",0.0021,3.4e-05,0.00044
"phi910v2","910L2evo","17.5",-0.0083,3.7e-05,0.00044
"phi910v2","910L2evo","13",-0.0068,6.9e-05,0.00059
"phi910v2","910L2evo","18.7",-0.014,6.5e-05,0.00059
"phi910v2","910L2evo","6",0.0095,9.8e-05,0.00073
"phi910v2","910L2evo","5.5-5.7",0.0071,0.00012,0.00081
"phi910v2","910L2evo","5.9",0.012,0.00024,0.0014
"phi910v2","910L2evo","17",-0.0094,0.00032,0.0016
"phi910v2","910L2evo","19",-0.01,0.00032,0.0016
"phi910v2","910L2evo","0.7",0.001,0.00054,0.0025
"phi910v2","910L2evo","7.7",-0.012,0.00058,0.0025
"phi910v2","910L2evo","5.5",0.0075,0.00063,0.0025
"phi910v2","910L2evo","3.5",0.011,0.00078,0.0028
"phi910v2","910L2evo","18",-0.011,0.00078,0.0028
"phi910v2","910L2evo","9",-0.0054,0.0011,0.0036
"phi910v2","910L2evo","15",-0.011,0.0013,0.004
"phi910v2","910L2evo","5.3",0.0051,0.0017,0.0051
"phi910v2","910L2evo","14",-0.011,0.0019,0.0054
"phi910v2","910L2evo","6.3",0.013,0.0026,0.0071
"phi910v2","910L2evo","16",-0.0087,0.006,0.016
"phi910v2","910L2evo","4.3",0.018,0.0071,0.018
"phi910v2","910L2evo","4.2",0.0055,0.0076,0.018
"phi910v2","910L2evo","10B",-0.01,0.0082,0.019
"phi910v2","910L2evo","10A",-0.01,0.01,0.023
"phi910v2","910L2evo","1.2",0.004,0.012,0.025
"phi910v2","910L2evo","2.8",0.0045,0.013,0.027
"phi910v2","910L2evo","19.2",-0.012,0.014,0.029
"phi910v2","910L2evo","1.7",0.0085,0.019,0.035
"phi910v2","910L2evo","4A",0.0023,0.019,0.035
"phi910v2","910L2evo","4B",0.0024,0.018,0.035
"phi910v2","910L2evo","1.8",0.013,0.021,0.038
"phi910v2","910L2evo","3",0.011,0.024,0.041
"phi910v2","910L2evo","4.5",0.015,0.025,0.041
"phi910v2","910L2evo","1.6",0.0054,0.031,0.05
"phi910v2","910L2evo","4.1",0.0025,0.034,0.054
"phi910v2","910L2evo","2",0.0084,0.042,0.064
"phi910v2","910L2evo","2.5",0.0066,0.051,0.076
"phi910v2","910L2evo","8",-0.0029,0.06,0.087
"phi910v2","910L2evo","3.8",0.00077,0.062,0.089
"phi910v2","910L2evo","5",0.00091,0.072,0.1
"phi910v2","910L2evo","1.3",0.00089,0.084,0.11
"phi910v2","910L2evo","1.5",0.0053,0.085,0.11
"phi910v2","910L2evo","7",-0.0058,0.13,0.16
"phi910v2","910L2evo","7.3",-0.0065,0.12,0.16
"phi910v2","910L2evo","4.7",0.00073,0.16,0.2
"phi910v2","910L2evo","6.5",-0.005,0.16,0.2
"phi910v2","910L2evo","1.1",0.0025,0.25,0.3
"phi910v2","910L2evo","0.6B",1.3e-07,0.27,0.32
"phi910v2","910L2evo","0.5",-3.2e-07,0.39,0.45
"phi910v2","910L2evo","1.4",0.00065,0.45,0.51
"phi910v2","910L2evo","6.7",-0.0019,0.55,0.61
"phi910v2","910L2evo","0.6A",6.9e-08,0.66,0.71
"phi910v2","910L2evo","11",-0.00024,0.65,0.71
"phi910v2","910L2evo","19.5",-0.0068,0.7,0.74
"phi910v2","910L2evo","0.4",6.1e-08,0.8,0.83
"phi910v2","910L2evo","12",6.4e-05,0.84,0.86
"phi910v2","910L2evo","1",5.3e-06,0.98,0.98
"8st-910","8st-910evo","10A",-0.016,4e-05,0.0024
"8st-910","8st-910evo","10B",-0.015,8.4e-05,0.0025
"8st-910","8st-910evo","2",0.016,0.00021,0.0035
"8st-910","8st-910evo","7.3",-0.021,0.00041,0.0035
"8st-910","8st-910evo","8",-0.0057,0.00038,0.0035
"8st-910","8st-910evo","14",-0.0062,0.00037,0.0035
"8st-910","8st-910evo","15",-0.0063,0.00031,0.0035
"8st-910","8st-910evo","1.6",0.0069,0.00077,0.0041
"8st-910","8st-910evo","1.7",0.01,0.00078,0.0041
"8st-910","8st-910evo","1.8",0.018,0.00091,0.0041
"8st-910","8st-910evo","4.3",0.021,0.001,0.0041
"8st-910","8st-910evo","5.5-5.7",0.0051,0.00098,0.0041
"8st-910","8st-910evo","5.5",0.0058,0.00085,0.0041
"8st-910","8st-910evo","7",-0.016,0.00083,0.0041
"8st-910","8st-910evo","16",-0.0057,0.00059,0.0041
"8st-910","8st-910evo","2.5",0.013,0.0012,0.0043
"8st-910","8st-910evo","4.2",0.0098,0.0014,0.0043
"8st-910","8st-910evo","5.7",0.007,0.0013,0.0043
"8st-910","8st-910evo","6",0.0056,0.0013,0.0043
