"","count","condition","gene1","gene","strain","background","knockout"
"1",16799.4874504462,"deop","gene 0.3","0.3","11-44","10deop","wt"
"2",19039.5729238305,"deop","gene 0.3","0.3","11-44","10deop","wt"
"3",14437.8071816315,"deop","gene 0.3","0.3","11-44","10deop","wt"
"4",12565.6108036528,"deop","gene 0.3","0.3","11-44","10deop","wt"
"5",17083.6323692256,"deop","gene 0.3","0.3","11-44","10deop","wt"
"6",18101.0371323381,"deop","gene 0.3","0.3","11-44","10deop","wt"
"7",9778.33406386685,"deop-10","gene 0.3","0.3","11-44-phi10","10deop","phi10"
"8",10434.2436172339,"deop-10","gene 0.3","0.3","11-44-phi10","10deop","phi10"
"9",10148.0581461503,"deop-10","gene 0.3","0.3","11-44-phi10","10deop","phi10"
"10",8882.1276181482,"deop-10","gene 0.3","0.3","11-44-phi10","10deop","phi10"
"11",15283.6005300846,"deop-10","gene 0.3","0.3","11-44-phi10","10deop","phi10"
"12",17677.7526579708,"deop-10","gene 0.3","0.3","11-44-phi10","10deop","phi10"
"13",15775.3877177064,"deop-9","gene 0.3","0.3","11-44-phi9v2","10deop","phi9"
"14",11796.2556371743,"deop-9","gene 0.3","0.3","11-44-phi9v2","10deop","phi9"
"15",12335.703368556,"deop-9","gene 0.3","0.3","11-44-phi9v2","10deop","phi9"
"16",18377.1598320004,"deop-9","gene 0.3","0.3","11-44-phi9v2","10deop","phi9"
"17",16257.5157392608,"deop-9","gene 0.3","0.3","11-44-phi9v2","10deop","phi9"
"18",15684.6011984955,"deop-9","gene 0.3","0.3","11-44-phi9v2","10deop","phi9"
"19",20055.1933657144,"8st-9","gene 0.3","0.3","8st-9","8st","phi9"
"20",20587.2677111161,"8st-9","gene 0.3","0.3","8st-9","8st","phi9"
"21",9830.51805003572,"8st-9","gene 0.3","0.3","8st-9","8st","phi9"
"22",14234.2084202866,"8st-9","gene 0.3","0.3","8st-9","8st","phi9"
"23",13523.533075223,"8st-9","gene 0.3","0.3","8st-9","8st","phi9"
"24",17481.9362816311,"8st-9","gene 0.3","0.3","8st-9","8st","phi9"
"25",31518.0271496223,"8st-9","gene 0.3","0.3","8st-9","8st","phi9"
"26",14655.906873862,"8st-910","gene 0.3","0.3","8st-910","8st","phi910"
"27",13545.8681012698,"8st-910","gene 0.3","0.3","8st-910","8st","phi910"
"28",14512.1161986508,"8st-910","gene 0.3","0.3","8st-910","8st","phi910"
"29",13787.760401818,"8st-910","gene 0.3","0.3","8st-910","8st","phi910"
"30",17233.5724640658,"8st-910","gene 0.3","0.3","8st-910","8st","phi910"
"31",15939.0016857443,"8st-910","gene 0.3","0.3","8st-910","8st","phi910"
"32",23714.7079055901,"8st-910","gene 0.3","0.3","8st-910","8st","phi910"
"33",17774.5759355528,"8st-910evo","gene 0.3","0.3","8st-910evo","8st","phi910"
"34",14701.1375043272,"8st-910evo","gene 0.3","0.3","8st-910evo","8st","phi910"
"35",15024.6720773321,"8st-910evo","gene 0.3","0.3","8st-910evo","8st","phi910"
"36",19783.7386082924,"910L2evo","gene 0.3","0.3","910L2evo","wt","phi910"
"37",17941.3646193969,"910L2evo","gene 0.3","0.3","910L2evo","wt","phi910"
"38",19564.0271260484,"910L2evo","gene 0.3","0.3","910L2evo","wt","phi910"
"39",10187.099728202,"wt-10","gene 0.3","0.3","phi10","wt","phi10"
"40",14247.6007914933,"wt-10","gene 0.3","0.3","phi10","wt","phi10"
"41",13752.1596047573,"wt-10","gene 0.3","0.3","phi10","wt","phi10"
"42",11900.1200889312,"wt-10","gene 0.3","0.3","phi10","wt","phi10"
"43",14327.3479115006,"wt-10","gene 0.3","0.3","phi10","wt","phi10"
"44",21572.9931730033,"wt-10","gene 0.3","0.3","phi10","wt","phi10"
"45",29389.5851176184,"wt-910","gene 0.3","0.3","phi910v2","wt","phi910"
"46",36410.3038747811,"wt-910","gene 0.3","0.3","phi910v2","wt","phi910"
"47",42084.8588623122,"wt-910","gene 0.3","0.3","phi910v2","wt","phi910"
"48",32238.0876687365,"wt-910","gene 0.3","0.3","phi910v2","wt","phi910"
"49",44489.272236538,"wt-910","gene 0.3","0.3","phi910v2","wt","phi910"
"50",38389.1451836523,"wt-910","gene 0.3","0.3","phi910v2","wt","phi910"
"51",13940.6229141067,"wt-9","gene 0.3","0.3","phi9v2","wt","phi9"
"52",11113.1887004838,"wt-9","gene 0.3","0.3","phi9v2","wt","phi9"
"53",15384.4988448848,"wt-9","gene 0.3","0.3","phi9v2","wt","phi9"
"54",10129.8662245868,"wt-9","gene 0.3","0.3","phi9v2","wt","phi9"
"55",18750.3814371248,"wt-9","gene 0.3","0.3","phi9v2","wt","phi9"
"56",11172.5559565301,"wt-9","gene 0.3","0.3","phi9v2","wt","phi9"
"57",9985.59238350041,"wt","gene 0.3","0.3","wt","wt","wt"
"58",13835.4558675254,"wt","gene 0.3","0.3","wt","wt","wt"
"59",12969.182584242,"wt","gene 0.3","0.3","wt","wt","wt"
"60",11130.2753136482,"wt","gene 0.3","0.3","wt","wt","wt"
"61",16231.3815875374,"wt","gene 0.3","0.3","wt","wt","wt"
"62",20598.4776722341,"wt","gene 0.3","0.3","wt","wt","wt"
"63",9424.20181096995,"wt","gene 0.3","0.3","wt","wt","wt"
"64",15202.3234664779,"wt","gene 0.3","0.3","wt","wt","wt"
"65",0.5,"deop","gene 0.4","0.4","11-44","10deop","wt"
"66",0.5,"deop","gene 0.4","0.4","11-44","10deop","wt"
"67",1.44782741476047,"deop","gene 0.4","0.4","11-44","10deop","wt"
"68",3.08714383150313,"deop","gene 0.4","0.4","11-44","10deop","wt"
"69",11.4831119771284,"deop","gene 0.4","0.4","11-44","10deop","wt"
"70",3.40701632254687,"deop","gene 0.4","0.4","11-44","10deop","wt"
"71",3.07243727015703,"deop-10","gene 0.4","0.4","11-44-phi10","10deop","phi10"
"72",0.5,"deop-10","gene 0.4","0.4","11-44-phi10","10deop","phi10"
"73",1.46158041752585,"deop-10","gene 0.4","0.4","11-44-phi10","10deop","phi10"
"74",0.5,"deop-10","gene 0.4","0.4","11-44-phi10","10deop","phi10"
"75",4.92142583176664,"deop-10","gene 0.4","0.4","11-44-phi10","10deop","phi10"
"76",0.5,"deop-10","gene 0.4","0.4","11-44-phi10","10deop","phi10"
"77",3.0165330968663,"deop-9","gene 0.4","0.4","11-44-phi9v2","10deop","phi9"
"78",0.5,"deop-9","gene 0.4","0.4","11-44-phi9v2","10deop","phi9"
"79",0.5,"deop-9","gene 0.4","0.4","11-44-phi9v2","10deop","phi9"
"80",2.12500676460535,"deop-9","gene 0.4","0.4","11-44-phi9v2","10deop","phi9"
"81",1.71040992772399,"deop-9","gene 0.4","0.4","11-44-phi9v2","10deop","phi9"
"82",1.84454360895804,"deop-9","gene 0.4","0.4","11-44-phi9v2","10deop","phi9"
"83",0.5,"8st-9","gene 0.4","0.4","8st-9","8st","phi9"
"84",2.33156296362243,"8st-9","gene 0.4","0.4","8st-9","8st","phi9"
"85",3.0814123030556,"8st-9","gene 0.4","0.4","8st-9","8st","phi9"
"86",2.19502720152667,"8st-9","gene 0.4","0.4","8st-9","8st","phi9"
"87",4.30223614553871,"8st-9","gene 0.4","0.4","8st-9","8st","phi9"
"88",0.5,"8st-9","gene 0.4","0.4","8st-9","8st","phi9"
"89",9.65940922685914,"8st-9","gene 0.4","0.4","8st-9","8st","phi9"
"90",1.07234268819269,"8st-910","gene 0.4","0.4","8st-910","8st","phi910"
"91",1.49928942097159,"8st-910","gene 0.4","0.4","8st-910","8st","phi910"
"92",0.5,"8st-910","gene 0.4","0.4","8st-910","8st","phi910"
"93",0.90465075140344,"8st-910","gene 0.4","0.4","8st-910","8st","phi910"
"94",2.88602595556467,"8st-910","gene 0.4","0.4","8st-910","8st","phi910"
