"strain","treatment","background","knockout","Sample","rep","ref_genome","start","stop","locus_tag","gene","counts","rpk","rpm","tpm"
"T7Hi","wt","wt","wt","PA62","1","T7Hi",890,1468,"T7p01","0.3",11173,19330.4498269896,17.1627186700536,1126.30464896674
"T7Hi","wt","wt","wt","PA62","1","T7Hi",1277,1433,"T7p02","0.4",14,89.7435897435897,17.1627186700536,5.22898449067856
"T7Hi","wt","wt","wt","PA62","1","T7Hi",1468,3138,"T7p03","0.7",15660,9377.24550898204,17.1627186700536,546.372966268096
"T7Hi","wt","wt","wt","PA62","1","T7Hi",1495,1639,"T7p04","0.5",12,83.3333333333333,17.1627186700536,4.85548559848723
"T7Hi","wt","wt","wt","PA62","1","T7Hi",1635,1972,"T7p05","0.6B",15,44.5103857566766,17.1627186700536,2.59343444429585
"T7Hi","wt","wt","wt","PA62","1","T7Hi",1635,1797,"T7p06","0.6A",4,24.6913580246914,17.1627186700536,1.43866239955177
"T7Hi","wt","wt","wt","PA62","1","T7Hi",3138,5887,"T7p07","1",53695,19532.5572935613,17.1627186700536,1138.08060768616
"T7Hi","wt","wt","wt","PA62","1","T7Hi",5887,6448,"T7p08","1.2",44730,79732.6203208556,17.1627186700536,4645.68707637078
"T7Hi","wt","wt","wt","PA62","1","T7Hi",6006,6135,"T7p09","1.1",11676,90511.6279069767,17.1627186700536,5273.73486957553
"T7Hi","wt","wt","wt","PA62","1","T7Hi",6448,7588,"T7p10","1.3",126375,110855.263157895,17.1627186700536,6459.07360535604
"T7Hi","wt","wt","wt","PA62","1","T7Hi",7607,7763,"T7p11","1.4",17022,109115.384615385,17.1627186700536,6357.69814288074
"T7Hi","wt","wt","wt","PA62","1","T7Hi",7790,7880,"T7p12","1.5",13235,147055.555555556,17.1627186700536,8568.31358613047
"T7Hi","wt","wt","wt","PA62","1","T7Hi",7905,8166,"T7p13","1.6",36623,140318.007662835,17.1627186700536,8175.74478498381
"T7Hi","wt","wt","wt","PA62","1","T7Hi",8165,8756,"T7p14","1.7",61408,103905.24534687,17.1627186700536,6054.1250686681
"T7Hi","wt","wt","wt","PA62","1","T7Hi",8748,8895,"T7p15","1.8",20470,139251.700680272,17.1627186700536,8113.61552661499
"T7Hi","wt","wt","wt","PA62","1","T7Hi",8897,9092,"T7p16","2",24251,124364.102564103,17.1627186700536,7246.17730762547
